lead_id,campaign_id,lead_name,company,email,phone,status
LEAD19beec9c,CMP65acaae3,Alexander Neal,Walker-Smith,patrickkelly@example.org,6932855518,Qualified
LEAD04f4c839,CMP65acaae3,Amy Jones,"Cook, Jones and Lawrence",stephanie59@example.net,990.368.5666,Converted
LEADe93949c9,CMP65acaae3,Jessica Shelton,Jones-Crosby,gescobar@example.net,+1-902-666-5009x252,Contacted
LEAD54c366e6,CMP65acaae3,Karen Marquez,Delgado-Cox,troymiles@example.com,453-205-3981x364,Converted
LEADb9ea9eb7,CMP65acaae3,Robert Mcneil,"Ellis, Riley and Russell",lisaguerrero@example.com,+1-995-769-9961x6303,Contacted
LEADb35c6343,CMP65acaae3,Kristin Wright,Molina-Wiggins,wrubio@example.org,(824)452-0998,Converted
LEADe97ff5d6,CMP65acaae3,Seth Williams,Wood-Torres,bmorse@example.net,967-943-0649,Contacted
LEAD2abed50c,CMP65acaae3,Melissa Acosta DDS,Cooper PLC,nthomas@example.com,272-441-2587,Contacted
LEAD32e65da0,CMP65acaae3,Michelle Schultz,Smith-Welch,aaron55@example.org,+1-731-586-0694x3281,Contacted
LEAD16010e55,CMP65acaae3,Chelsea Potter,"Jenkins, Holland and Kim",hillmegan@example.org,444.350.6090x390,Qualified
LEAD7f72cbda,CMP65acaae3,Jorge Foster,Horton-Rodriguez,lesliesims@example.org,+1-537-789-9169,Converted
LEAD06832f1f,CMP65acaae3,Kayla Wallace,"Smith, Webster and Russo",laura80@example.org,(721)335-8058x393,New
LEADa1d019ca,CMP65acaae3,Nicole Brown,Porter-Fuller,wjimenez@example.net,2279185265,Qualified
LEADe4328d46,CMP65acaae3,Jennifer Thompson,Ballard-Allen,lowejeffrey@example.net,331-292-6734,Qualified
LEAD85a0d6d6,CMP65acaae3,Mark Smith Jr.,"Manning, Kramer and Mendoza",ryanrobles@example.net,2325803128,Qualified
LEAD5c26bcf2,CMP65acaae3,Mark Moss,"Roman, Glover and Oconnor",dawsonalexandra@example.com,7728731370,Contacted
LEADd27f1921,CMP65acaae3,Samantha Sanders,Lozano-Luna,acollins@example.net,981-961-5087x469,Contacted
LEAD9124476a,CMP65acaae3,Timothy Wagner,Johnson LLC,loriparker@example.com,(964)242-0329x73887,New
LEAD882c7d80,CMP65acaae3,Kristen Harrell,Terry PLC,mcdanieljeremy@example.org,+1-932-669-4234,Qualified
LEADf302cac6,CMP65acaae3,Michael Perez,"Butler, Sanchez and Byrd",mindylawrence@example.org,830-889-1748x305,Contacted
LEAD58e27d7d,CMP65acaae3,James Erickson,"Osborne, Ramirez and Roberts",barbara00@example.com,001-816-559-7758x220,Qualified
LEAD92a72482,CMP65acaae3,Wendy Taylor,Turner Group,jeremy08@example.org,695.559.3717,Qualified
LEAD56422501,CMP65acaae3,Jennifer Hurley,James Group,dawnmurphy@example.org,(578)976-8022,Contacted
LEAD6510e75e,CMP65acaae3,Shannon Williams,"Johnson, Smith and Gardner",elizabeth50@example.org,281.293.4403x7235,New
LEAD6c58713d,CMP65acaae3,Mariah Stewart,"Bennett, Williams and Black",andreaallen@example.net,+1-288-430-3702,Qualified
LEAD1db0c2d0,CMP65acaae3,David Kennedy,"Pitts, Blair and Shelton",cholland@example.net,631.646.7624,New
LEAD0d1c9dfe,CMP65acaae3,Robert Walker,Smith-Houston,patricia70@example.net,(677)304-9432x984,New
LEAD166dd096,CMP65acaae3,Sarah Garcia,Sheppard-Rice,ingramdawn@example.com,867-276-6641x288,Contacted
LEADd6b5e3e6,CMP65acaae3,James Swanson,"Holden, Reeves and Johnson",erin00@example.org,453.713.0399,New
LEAD6a089509,CMP65acaae3,Diana Yates,"Donovan, Hutchinson and Hernandez",wguzman@example.org,001-475-800-4389,New
LEADa2475904,CMP65acaae3,Kristy Henry,Richardson PLC,regina68@example.com,(844)279-1004x68630,Contacted
LEAD972e5b83,CMP65acaae3,Erika Wilkins,Herrera-Pearson,fletcherjeffrey@example.com,544.491.0411x3895,Converted
LEAD100f390b,CMP65acaae3,Jason Wilson MD,Davis Inc,fryelaura@example.com,862.657.0834x5932,New
LEADb8aa2599,CMP65acaae3,Scott Boyd,"Key, Cooper and Le",nathaniel96@example.net,001-651-307-0314x19460,Qualified
LEAD5b978b5f,CMP65acaae3,Laura Clark,Howe-Hernandez,yjones@example.net,482-281-7325,New
LEAD81a0d17a,CMP65acaae3,Elizabeth Perry,Lee Inc,lhuffman@example.net,877.506.1439,Contacted
LEAD3ffe090d,CMP65acaae3,Ann Wilson,Mosley-Faulkner,sierrasmith@example.com,439.606.0212x17539,New
LEADccc1785d,CMP65acaae3,Angela Pena,Flores-Roberts,stacey81@example.net,636.862.9133,Qualified
LEAD22b4a668,CMP65acaae3,Anthony Burton,Myers-Bird,lloydcurtis@example.org,001-404-900-6898,New
LEAD4cdfbb03,CMP65acaae3,Ryan Berry,Harris-Young,jonesdonna@example.org,001-837-758-5590x66697,Converted
LEADf9696195,CMP65acaae3,Adrienne Solis,Sanders-Vaughan,qmiranda@example.net,+1-480-365-3065,Qualified
LEADfd13c26f,CMP65acaae3,Natasha Pruitt,"Flores, White and Miranda",lorirodriguez@example.net,+1-793-740-2945,New
LEAD4915b8e0,CMP65acaae3,Mrs. Nancy Ramos,Bailey and Sons,emma30@example.com,315.449.0142x74418,Converted
LEAD6dbf885f,CMP65acaae3,Barbara Jones,Larson and Sons,haley11@example.org,001-792-552-4874x38043,Converted
LEAD8ac89c8d,CMP65acaae3,Garrett Dunlap,"French, Baker and Torres",donald52@example.net,217-659-1342,Converted
LEAD84d02a71,CMP65acaae3,Ryan Parker,"Stewart, Barron and Taylor",wheelerrobert@example.com,897-417-6161x4742,Contacted
LEAD060935dd,CMP65acaae3,Cheryl Martin,Hall and Sons,kenneth47@example.com,590.354.4687x90460,Converted
LEAD7eff0035,CMP65acaae3,Matthew Cherry,Escobar Group,lawrencejeffrey@example.org,919-566-1710x425,Contacted
LEADd6467846,CMP65acaae3,Harold Osborne,Delgado and Sons,jlester@example.com,202-741-7883x637,Contacted
LEAD277dc521,CMP65acaae3,Donald Lane,"Jimenez, Lopez and Lopez",hamiltonmatthew@example.com,825-448-1825,Converted
LEADdc9ed843,CMP65acaae3,Brianna Morgan,Wright LLC,qsmith@example.net,001-919-703-2960x27678,Converted
LEADb022f193,CMP65acaae3,Valerie Santiago,"Gonzales, Davis and Brown",kimberlyholland@example.org,(616)666-3570x582,Converted
LEAD3757eb96,CMP65acaae3,Melissa Shah,York PLC,mario94@example.com,001-833-357-5204x243,Qualified
LEADca5f1de5,CMP65acaae3,Joe Russell,Davis-Smith,adam92@example.org,(623)669-8020x0924,Qualified
LEAD75cb2cea,CMP65acaae3,Valerie Gonzalez,Johnson and Sons,contrerasjaclyn@example.net,985-939-8177,Contacted
LEADe92bce4c,CMP65acaae3,Julie Chan,"Aguirre, Stephens and Kelley",browncarrie@example.com,630.850.6937x9191,Qualified
LEAD3d5dfaf9,CMP65acaae3,Duane Schwartz,Brady and Sons,sdunn@example.com,+1-402-767-6164x04326,Qualified
LEADc0341c90,CMP65acaae3,Katrina Diaz,Johnson-Jones,tracysingh@example.org,001-581-978-5702x827,New
LEADd3d589e3,CMP65acaae3,Edwin Wagner,Martin-Lopez,ibright@example.com,001-313-967-4481,Qualified
LEADf849d46a,CMP65acaae3,Patrick James,Bell Inc,greenheather@example.com,823-386-0401,Contacted
LEAD16f314fe,CMP65acaae3,Justin Williams,"Austin, Mccormick and Wilson",schwartzjennifer@example.net,001-290-665-9607x8457,Contacted
LEAD5bd0242b,CMP65acaae3,April Campbell,Barrett and Sons,kaisernicole@example.net,476.810.8221,Contacted
LEAD5b98ed33,CMP65acaae3,Kimberly Gonzalez,Gonzalez-Jones,kaylagilbert@example.org,(344)388-4897x64856,Contacted
LEAD7e465bd2,CMP65acaae3,Kaitlyn Anderson,Jones-Gutierrez,jennifer24@example.net,690-384-8273x6034,Contacted
LEAD81360c93,CMP65acaae3,Margaret Ray,"Martin, Obrien and Miller",martinronald@example.com,7127556051,Contacted
LEAD4f5bb6be,CMP65acaae3,Brian Wise,"Dorsey, Fleming and Spencer",uanderson@example.com,(678)747-3650x7629,Contacted
LEAD6354b254,CMP65acaae3,Craig Dennis,Williams-Hubbard,vrhodes@example.com,371-600-5469x36391,Converted
LEAD82258eb7,CMP65acaae3,Alice Foster,Mckinney-Brooks,michaelmorrison@example.net,001-518-365-4519x273,Converted
LEAD0182169d,CMP65acaae3,Christopher Leonard,Kelly Ltd,singhjoel@example.org,+1-257-791-9950,Contacted
LEAD7119870f,CMP65acaae3,Mrs. Jennifer Durham,Ray-Hill,allenjoseph@example.net,+1-380-887-0800x12577,Qualified
LEAD8ba72991,CMP65acaae3,Joshua Kemp,"Mclaughlin, Ford and Mcknight",steven17@example.org,469.210.7911x927,New
LEAD281c3c47,CMP65acaae3,Jeffrey Cooper,Perry-Mendez,browndavid@example.org,507.568.2902x611,Contacted
LEADe2cdb227,CMP65acaae3,Ashley Bridges,Solomon Ltd,sherri51@example.com,(453)790-8871,Qualified
LEADa77a212f,CMP65acaae3,Brittany White,May-Bailey,norrisheather@example.com,234-996-4590x74243,Converted
LEAD8d0d45eb,CMP65acaae3,Michelle Bond,Smith-Wood,mollyholland@example.org,(836)812-4142x8297,Converted
LEADa68f476a,CMP65acaae3,David Hart,Acosta Group,kyle76@example.com,(667)763-0145x805,New
LEAD03f28b3c,CMP65acaae3,Lucas Martinez Jr.,"Garcia, Wright and Phillips",craig66@example.com,603-448-0189,Contacted
LEADcd0476b7,CMP65acaae3,David Harrington,Cline and Sons,fjones@example.org,001-656-365-7299x03631,Converted
LEAD90a228cd,CMP65acaae3,Susan Gregory,"Lee, Wright and Cochran",brownluis@example.com,+1-722-390-3140x32696,Qualified
LEADb718829e,CMP65acaae3,Thomas Randall,"Gray, Ruiz and Jacobs",schmittthomas@example.com,001-443-564-2117x04226,Qualified
LEAD22ad4fc4,CMP65acaae3,Jasmine Lee,Brooks-Carroll,smithjacqueline@example.com,5647458881,Contacted
LEAD39f37a96,CMP65acaae3,Mary Levine,Lang PLC,mcampos@example.net,881-894-0609,New
LEAD7acb09ee,CMP65acaae3,Hannah Blanchard,Sandoval Group,austinlopez@example.org,+1-649-673-2671,Converted
LEADaf4ccc1a,CMP65acaae3,Mariah Levy,"Valdez, Castro and Hicks",gwatson@example.org,(543)579-3373,Converted
LEADa0b15a85,CMP65acaae3,David Stephens,Scott Group,eileenhines@example.com,205.917.6270,New
LEADf14ae70b,CMP65acaae3,Courtney Hanson,"Hobbs, Hodges and Haynes",kirkjohn@example.org,988.465.8710x73138,Contacted
LEADc40ec5b6,CMP65acaae3,Brian Blair,"Wade, Peters and Brown",billy29@example.org,256.387.9994x11753,Contacted
LEADed82840b,CMP65acaae3,Jamie Silva,"Cook, Patterson and Bryant",joseph71@example.com,+1-943-632-2575,Converted
LEADedb4bc80,CMP65acaae3,Anthony Ramos,Mercado-Sanchez,reidjeff@example.com,(423)316-9549x52609,Qualified
