employee_id,name,role,record_date,patient_satisfaction_score,readmission_rate,compliance_score,charting_timeliness
EID001,Allison Hill,Nurse,2024-10-01,75.34,2.26,90.88,90.06
EID001,Allison Hill,Nurse,2024-10-02,86.71,4.23,93.48,84.14
EID001,Allison Hill,Nurse,2024-10-03,78.19,0.96,90.05,95.59
EID001,Allison Hill,Nurse,2024-10-04,98.15,3.47,88.0,70.4
EID001,Allison Hill,Nurse,2024-10-05,82.98,1.75,96.63,92.08
EID001,Allison Hill,Nurse,2024-10-06,81.29,1.78,84.53,83.34
EID001,Allison Hill,Nurse,2024-10-07,80.95,1.38,88.41,70.56
EID001,Allison Hill,Nurse,2024-10-08,75.27,1.45,96.01,72.7
EID001,Allison Hill,Nurse,2024-10-09,85.74,2.27,87.24,79.65
EID001,Allison Hill,Nurse,2024-10-10,83.35,1.8,88.73,79.94
EID001,Allison Hill,Nurse,2024-10-11,91.03,0.09,95.86,75.19
EID001,Allison Hill,Nurse,2024-10-12,80.14,1.08,93.76,87.46
EID001,Allison Hill,Nurse,2024-10-13,81.62,4.61,88.31,89.97
EID001,Allison Hill,Nurse,2024-10-14,85.04,3.21,98.57,71.92
EID001,Allison Hill,Nurse,2024-10-15,87.02,2.69,85.14,85.66
EID001,Allison Hill,Nurse,2024-10-16,76.49,3.29,91.13,97.38
EID001,Allison Hill,Nurse,2024-10-17,71.69,0.97,80.74,90.72
EID001,Allison Hill,Nurse,2024-10-18,82.93,2.17,91.96,71.81
EID001,Allison Hill,Nurse,2024-10-19,94.25,2.01,85.76,97.19
EID001,Allison Hill,Nurse,2024-10-20,82.73,2.6,82.87,77.1
EID001,Allison Hill,Nurse,2024-10-21,89.53,2.7,83.97,99.78
EID001,Allison Hill,Nurse,2024-10-22,97.14,4.86,83.05,89.32
EID001,Allison Hill,Nurse,2024-10-23,82.91,1.09,98.85,76.17
EID001,Allison Hill,Nurse,2024-10-24,86.95,1.47,89.3,87.4
EID001,Allison Hill,Nurse,2024-10-25,77.03,4.11,99.01,81.78
EID001,Allison Hill,Nurse,2024-10-26,93.32,1.89,95.88,90.36
EID001,Allison Hill,Nurse,2024-10-27,78.16,2.45,86.15,83.41
EID001,Allison Hill,Nurse,2024-10-28,74.6,1.98,84.93,79.64
EID001,Allison Hill,Nurse,2024-10-29,85.03,0.37,84.65,93.76
EID001,Allison Hill,Nurse,2024-10-30,95.71,0.1,85.28,81.16
EID001,Allison Hill,Nurse,2024-10-31,97.16,3.9,89.93,78.17
EID001,Allison Hill,Nurse,2024-11-01,90.06,0.06,91.01,82.27
EID001,Allison Hill,Nurse,2024-11-02,80.39,2.52,94.17,77.94
EID001,Allison Hill,Nurse,2024-11-03,85.97,1.81,94.25,74.87
EID001,Allison Hill,Nurse,2024-11-04,89.69,0.73,97.31,74.62
EID001,Allison Hill,Nurse,2024-11-05,91.09,2.54,86.47,91.05
EID001,Allison Hill,Nurse,2024-11-06,85.53,3.33,92.8,80.33
EID001,Allison Hill,Nurse,2024-11-07,78.13,0.83,83.11,85.51
EID001,Allison Hill,Nurse,2024-11-08,90.0,3.16,97.13,75.21
EID001,Allison Hill,Nurse,2024-11-09,85.99,3.84,84.48,79.5
EID001,Allison Hill,Nurse,2024-11-10,75.75,2.64,81.81,88.04
EID001,Allison Hill,Nurse,2024-11-11,78.81,3.26,81.46,72.15
EID001,Allison Hill,Nurse,2024-11-12,70.05,3.59,82.29,93.96
EID001,Allison Hill,Nurse,2024-11-13,79.13,4.99,91.27,97.37
EID001,Allison Hill,Nurse,2024-11-14,71.26,1.55,81.21,75.54
EID001,Allison Hill,Nurse,2024-11-15,91.92,3.81,99.5,70.32
EID001,Allison Hill,Nurse,2024-11-16,74.35,3.06,81.16,96.92
EID001,Allison Hill,Nurse,2024-11-17,85.47,4.26,85.51,91.36
EID001,Allison Hill,Nurse,2024-11-18,94.28,2.85,86.25,79.6
EID001,Allison Hill,Nurse,2024-11-19,83.44,1.57,92.8,91.52
EID001,Allison Hill,Nurse,2024-11-20,89.26,4.87,99.23,83.54
EID001,Allison Hill,Nurse,2024-11-21,78.9,2.47,83.96,95.55
EID001,Allison Hill,Nurse,2024-11-22,90.32,3.69,81.73,91.18
EID001,Allison Hill,Nurse,2024-11-23,97.4,1.17,96.65,98.79
EID001,Allison Hill,Nurse,2024-11-24,78.56,1.81,97.94,98.55
EID001,Allison Hill,Nurse,2024-11-25,73.95,0.9,80.92,90.36
EID001,Allison Hill,Nurse,2024-11-26,91.3,3.53,88.92,91.74
EID001,Allison Hill,Nurse,2024-11-27,85.93,2.53,91.75,92.38
EID001,Allison Hill,Nurse,2024-11-28,87.37,3.89,80.38,80.66
EID001,Allison Hill,Nurse,2024-11-29,81.54,3.69,90.62,73.79
EID001,Allison Hill,Nurse,2024-11-30,98.64,3.44,98.41,75.93
EID001,Allison Hill,Nurse,2024-12-01,97.53,0.26,84.33,99.17
EID001,Allison Hill,Nurse,2024-12-02,90.42,0.39,80.0,93.85
EID001,Allison Hill,Nurse,2024-12-03,95.5,1.48,87.48,85.72
EID001,Allison Hill,Nurse,2024-12-04,98.56,0.94,80.15,76.63
EID001,Allison Hill,Nurse,2024-12-05,81.38,2.47,80.36,84.1
EID001,Allison Hill,Nurse,2024-12-06,72.34,4.03,86.5,86.32
EID001,Allison Hill,Nurse,2024-12-07,86.85,2.64,89.81,74.28
EID001,Allison Hill,Nurse,2024-12-08,98.76,3.36,83.35,87.41
EID001,Allison Hill,Nurse,2024-12-09,97.76,3.97,84.35,89.49
EID001,Allison Hill,Nurse,2024-12-10,78.37,1.61,97.78,89.98
EID001,Allison Hill,Nurse,2024-12-11,88.33,3.94,98.17,85.97
EID001,Allison Hill,Nurse,2024-12-12,89.59,4.11,88.85,99.08
EID001,Allison Hill,Nurse,2024-12-13,70.01,0.39,88.99,82.86
EID001,Allison Hill,Nurse,2024-12-14,75.45,2.05,88.66,83.36
EID001,Allison Hill,Nurse,2024-12-15,87.85,1.39,98.29,81.94
EID001,Allison Hill,Nurse,2024-12-16,73.15,1.93,87.56,70.41
EID001,Allison Hill,Nurse,2024-12-17,84.63,3.56,80.55,97.45
EID001,Allison Hill,Nurse,2024-12-18,70.02,3.95,92.37,97.23
EID001,Allison Hill,Nurse,2024-12-19,91.03,1.36,98.01,99.54
EID001,Allison Hill,Nurse,2024-12-20,89.29,4.55,97.08,75.84
EID001,Allison Hill,Nurse,2024-12-21,99.02,0.86,87.78,97.02
EID001,Allison Hill,Nurse,2024-12-22,86.09,3.33,99.28,74.21
EID001,Allison Hill,Nurse,2024-12-23,98.86,0.49,98.25,84.95
EID001,Allison Hill,Nurse,2024-12-24,89.93,0.8,86.99,90.96
EID001,Allison Hill,Nurse,2024-12-25,93.84,3.99,81.27,82.21
EID001,Allison Hill,Nurse,2024-12-26,81.92,1.64,92.8,78.07
EID001,Allison Hill,Nurse,2024-12-27,78.79,0.06,99.68,80.35
EID001,Allison Hill,Nurse,2024-12-28,94.04,4.59,84.74,83.38
EID001,Allison Hill,Nurse,2024-12-29,94.43,4.76,94.24,90.13
EID001,Allison Hill,Nurse,2024-12-30,90.55,2.11,91.23,85.57
EID001,Allison Hill,Nurse,2024-12-31,94.28,0.61,95.24,89.2
EID002,Noah Rhodes,Nurse,2024-10-01,82.07,3.0,91.89,85.93
EID002,Noah Rhodes,Nurse,2024-10-02,90.51,0.85,88.51,79.6
EID002,Noah Rhodes,Nurse,2024-10-03,71.57,3.65,94.87,92.85
EID002,Noah Rhodes,Nurse,2024-10-04,92.87,3.88,87.91,71.5
EID002,Noah Rhodes,Nurse,2024-10-05,91.11,3.94,97.2,76.44
EID002,Noah Rhodes,Nurse,2024-10-06,91.72,2.63,98.24,95.9
EID002,Noah Rhodes,Nurse,2024-10-07,86.9,1.65,89.6,87.86
EID002,Noah Rhodes,Nurse,2024-10-08,82.52,4.05,81.17,76.8
EID002,Noah Rhodes,Nurse,2024-10-09,75.62,2.08,91.72,98.94
EID002,Noah Rhodes,Nurse,2024-10-10,86.4,0.87,99.8,99.04
EID002,Noah Rhodes,Nurse,2024-10-11,91.71,4.16,88.63,88.83
EID002,Noah Rhodes,Nurse,2024-10-12,72.32,3.01,92.06,86.77
EID002,Noah Rhodes,Nurse,2024-10-13,80.58,1.65,82.36,92.08
EID002,Noah Rhodes,Nurse,2024-10-14,78.91,0.23,97.69,88.3
EID002,Noah Rhodes,Nurse,2024-10-15,89.95,2.75,86.26,74.61
EID002,Noah Rhodes,Nurse,2024-10-16,88.08,3.77,97.79,88.89
EID002,Noah Rhodes,Nurse,2024-10-17,90.41,3.9,93.56,82.0
EID002,Noah Rhodes,Nurse,2024-10-18,87.17,2.3,80.55,99.91
EID002,Noah Rhodes,Nurse,2024-10-19,79.88,0.02,91.73,96.01
EID002,Noah Rhodes,Nurse,2024-10-20,77.49,4.74,85.21,73.4
EID002,Noah Rhodes,Nurse,2024-10-21,75.27,0.25,90.13,88.38
EID002,Noah Rhodes,Nurse,2024-10-22,80.18,1.46,84.08,79.22
EID002,Noah Rhodes,Nurse,2024-10-23,93.19,2.69,95.77,77.94
EID002,Noah Rhodes,Nurse,2024-10-24,80.05,1.58,96.56,99.99
EID002,Noah Rhodes,Nurse,2024-10-25,97.75,0.25,82.4,80.76
EID002,Noah Rhodes,Nurse,2024-10-26,96.32,2.34,91.41,93.59
EID002,Noah Rhodes,Nurse,2024-10-27,78.51,3.61,99.41,79.82
EID002,Noah Rhodes,Nurse,2024-10-28,89.72,3.85,85.69,80.8
EID002,Noah Rhodes,Nurse,2024-10-29,91.05,0.41,96.44,72.08
EID002,Noah Rhodes,Nurse,2024-10-30,89.72,0.3,88.42,89.67
EID002,Noah Rhodes,Nurse,2024-10-31,85.44,1.22,98.16,92.34
EID002,Noah Rhodes,Nurse,2024-11-01,89.15,4.99,81.79,79.15
EID002,Noah Rhodes,Nurse,2024-11-02,70.99,0.92,92.62,92.52
EID002,Noah Rhodes,Nurse,2024-11-03,70.86,4.21,98.38,84.41
EID002,Noah Rhodes,Nurse,2024-11-04,81.6,1.22,91.96,92.41
EID002,Noah Rhodes,Nurse,2024-11-05,93.25,1.93,97.32,72.49
EID002,Noah Rhodes,Nurse,2024-11-06,79.76,1.03,96.01,74.65
EID002,Noah Rhodes,Nurse,2024-11-07,77.42,4.39,81.36,74.64
EID002,Noah Rhodes,Nurse,2024-11-08,75.19,2.52,83.63,86.24
EID002,Noah Rhodes,Nurse,2024-11-09,92.7,2.68,99.62,83.29
EID002,Noah Rhodes,Nurse,2024-11-10,79.31,0.12,94.8,92.35
EID002,Noah Rhodes,Nurse,2024-11-11,96.54,1.13,93.37,71.17
EID002,Noah Rhodes,Nurse,2024-11-12,82.26,4.21,90.37,80.12
EID002,Noah Rhodes,Nurse,2024-11-13,98.35,0.81,86.24,83.5
EID002,Noah Rhodes,Nurse,2024-11-14,89.09,0.65,89.25,70.05
EID002,Noah Rhodes,Nurse,2024-11-15,93.22,2.29,96.6,85.36
EID002,Noah Rhodes,Nurse,2024-11-16,99.92,4.43,98.46,95.1
EID002,Noah Rhodes,Nurse,2024-11-17,73.64,4.75,80.36,81.03
