employee_id,name,role,record_date,prescription_volume,error_rate,patient_counseling_score,avg_wait_time_minutes
EID014,Michele Williams,Pharmacist,2024-10-01,121,2.43,94.53,19.62
EID014,Michele Williams,Pharmacist,2024-10-02,153,0.76,78.95,11.87
EID014,Michele Williams,Pharmacist,2024-10-03,114,4.36,66.6,7.87
EID014,Michele Williams,Pharmacist,2024-10-04,94,4.17,80.85,2.35
EID014,Michele Williams,Pharmacist,2024-10-05,86,0.96,65.8,19.46
EID014,Michele Williams,Pharmacist,2024-10-06,71,3.72,70.43,15.25
EID014,Michele Williams,Pharmacist,2024-10-07,84,2.18,88.8,4.98
EID014,Michele Williams,Pharmacist,2024-10-08,173,2.85,91.24,19.37
EID014,Michele Williams,Pharmacist,2024-10-09,78,2.33,62.35,18.52
EID014,Michele Williams,Pharmacist,2024-10-10,123,1.91,62.19,10.64
EID014,Michele Williams,Pharmacist,2024-10-11,90,2.13,67.01,2.96
EID014,Michele Williams,Pharmacist,2024-10-12,83,2.09,75.51,3.49
EID014,Michele Williams,Pharmacist,2024-10-13,150,3.98,98.46,3.79
EID014,Michele Williams,Pharmacist,2024-10-14,153,2.24,96.03,19.86
EID014,Michele Williams,Pharmacist,2024-10-15,196,0.78,93.55,15.37
EID014,Michele Williams,Pharmacist,2024-10-16,173,4.43,60.62,18.83
EID014,Michele Williams,Pharmacist,2024-10-17,177,0.2,90.07,16.25
EID014,Michele Williams,Pharmacist,2024-10-18,161,3.48,82.14,15.07
EID014,Michele Williams,Pharmacist,2024-10-19,59,3.65,69.85,11.24
EID014,Michele Williams,Pharmacist,2024-10-20,180,2.64,94.26,12.76
EID014,Michele Williams,Pharmacist,2024-10-21,124,1.85,68.02,7.42
EID014,Michele Williams,Pharmacist,2024-10-22,112,2.99,88.14,4.04
EID014,Michele Williams,Pharmacist,2024-10-23,132,4.69,92.56,12.5
EID014,Michele Williams,Pharmacist,2024-10-24,73,2.86,82.82,5.95
EID014,Michele Williams,Pharmacist,2024-10-25,186,2.1,76.71,15.12
EID014,Michele Williams,Pharmacist,2024-10-26,74,1.75,73.11,4.14
EID014,Michele Williams,Pharmacist,2024-10-27,77,0.59,87.82,18.61
EID014,Michele Williams,Pharmacist,2024-10-28,187,0.41,93.09,5.52
EID014,Michele Williams,Pharmacist,2024-10-29,162,2.76,81.71,6.26
EID014,Michele Williams,Pharmacist,2024-10-30,158,0.68,86.38,17.89
EID014,Michele Williams,Pharmacist,2024-10-31,141,4.7,67.15,10.95
EID014,Michele Williams,Pharmacist,2024-11-01,105,3.92,80.26,16.81
EID014,Michele Williams,Pharmacist,2024-11-02,147,4.62,94.48,8.37
