employee_id,name,role,record_date,complication_rate,readmission_rate,follow_up_adherence,patient_outcomes_score
EID008,Gina Moore,Physician,2024-10-01,1.92,2.81,94.43,86.46
EID008,Gina Moore,Physician,2024-10-02,6.95,4.94,96.32,95.12
EID008,Gina Moore,Physician,2024-10-03,7.62,2.38,97.59,77.84
EID008,Gina Moore,Physician,2024-10-04,0.42,5.81,94.37,83.87
EID008,Gina Moore,Physician,2024-10-05,4.5,1.42,81.22,59.81
EID008,Gina Moore,Physician,2024-10-06,1.33,4.6,73.66,97.32
EID008,Gina Moore,Physician,2024-10-07,4.23,2.54,73.67,99.15
EID008,Gina Moore,Physician,2024-10-08,7.23,1.75,74.55,76.63
EID008,Gina Moore,Physician,2024-10-09,9.68,5.76,88.17,53.12
EID008,Gina Moore,Physician,2024-10-10,2.21,2.59,84.78,98.0
EID008,Gina Moore,Physician,2024-10-11,4.89,5.02,98.38,66.62
EID008,Gina Moore,Physician,2024-10-12,1.25,3.6,91.01,97.17
EID008,Gina Moore,Physician,2024-10-13,6.13,0.71,84.59,51.59
EID008,Gina Moore,Physician,2024-10-14,1.38,3.66,91.43,53.23
EID008,Gina Moore,Physician,2024-10-15,3.24,2.89,92.25,62.12
EID008,Gina Moore,Physician,2024-10-16,2.94,4.07,74.03,99.09
EID008,Gina Moore,Physician,2024-10-17,7.91,2.51,71.95,53.04
EID008,Gina Moore,Physician,2024-10-18,2.92,7.45,79.55,66.77
EID008,Gina Moore,Physician,2024-10-19,1.7,2.96,96.75,69.73
EID008,Gina Moore,Physician,2024-10-20,4.65,1.44,70.39,89.46
EID008,Gina Moore,Physician,2024-10-21,0.6,7.92,88.35,55.18
EID008,Gina Moore,Physician,2024-10-22,8.74,6.73,82.5,76.01
EID008,Gina Moore,Physician,2024-10-23,5.02,6.29,90.55,67.78
EID008,Gina Moore,Physician,2024-10-24,4.49,0.07,70.32,98.89
EID008,Gina Moore,Physician,2024-10-25,0.23,3.87,87.95,66.94
EID008,Gina Moore,Physician,2024-10-26,3.79,3.67,89.98,83.67
EID008,Gina Moore,Physician,2024-10-27,2.99,0.78,72.06,53.33
EID008,Gina Moore,Physician,2024-10-28,6.69,3.16,87.96,91.21
EID008,Gina Moore,Physician,2024-10-29,8.42,4.22,73.85,53.49
EID008,Gina Moore,Physician,2024-10-30,6.23,2.18,90.66,51.58
EID008,Gina Moore,Physician,2024-10-31,0.68,0.53,79.53,71.72
EID008,Gina Moore,Physician,2024-11-01,2.12,0.58,70.32,88.9
EID008,Gina Moore,Physician,2024-11-02,9.31,7.87,75.85,94.65
EID008,Gina Moore,Physician,2024-11-03,5.54,4.55,78.63,68.24
EID008,Gina Moore,Physician,2024-11-04,1.48,8.0,79.29,58.3
EID008,Gina Moore,Physician,2024-11-05,0.41,1.82,75.38,72.32
EID008,Gina Moore,Physician,2024-11-06,9.84,6.94,74.39,69.51
EID008,Gina Moore,Physician,2024-11-07,7.29,2.15,93.78,91.42
EID008,Gina Moore,Physician,2024-11-08,5.42,3.29,99.76,96.26
EID008,Gina Moore,Physician,2024-11-09,5.06,0.23,95.6,82.5
EID008,Gina Moore,Physician,2024-11-10,8.88,0.21,83.43,55.45
EID008,Gina Moore,Physician,2024-11-11,7.59,2.58,93.61,50.01
EID008,Gina Moore,Physician,2024-11-12,5.4,4.36,94.18,65.12
